epoch,acc,dice_coef,iou,loss,lr,precision,recall,val_acc,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.8685183525085449,1.3878710269927979,2.6445181369781494,-0.387871116399765,1e-04,0.2778564393520355,0.8798215985298157,0.02875199355185032,0.928683340549469,0.8669641017913818,0.07131659984588623,0.31637275218963623,0.4830577075481415
1,0.8792486786842346,1.7420696020126343,7.329859256744385,-0.7420694828033447,1e-04,0.42239540815353394,0.9884243607521057,0.14468932151794434,1.051400065422058,1.109935998916626,-0.05139998719096184,0.6311686635017395,0.553740382194519
2,0.9006154537200928,1.8353760242462158,11.704252243041992,-0.8353759050369263,1e-04,0.4655517339706421,0.9965171813964844,0.6555081605911255,1.1693977117538452,1.4154807329177856,-0.16939757764339447,0.6169515252113342,0.7044588327407837
3,0.8978387117385864,1.8697807788848877,14.69118881225586,-0.8697808384895325,1e-04,0.47505125403404236,0.9980810880661011,0.7737888693809509,1.2330158948898315,1.619343876838684,-0.23301590979099274,0.6100425124168396,0.775079071521759
4,0.8178993463516235,1.8861165046691895,17.020709991455078,-0.8861164450645447,1e-04,0.5017097592353821,0.9983844757080078,0.837982714176178,1.2975472211837769,1.8702259063720703,-0.29754728078842163,0.6070866584777832,0.8552429676055908
5,0.7741563320159912,1.9025914669036865,20.172382354736328,-0.9025912284851074,1e-04,0.5148270130157471,0.9984488487243652,0.8703101873397827,1.3637109994888306,2.1837379932403564,-0.3637109696865082,0.614101767539978,0.9471696615219116
6,0.7198399901390076,1.9060274362564087,21.267475128173828,-0.9060275554656982,1e-04,0.518725574016571,0.9974793791770935,0.8878846764564514,1.398774266242981,2.4162027835845947,-0.39877432584762573,0.6202024221420288,0.9440979957580566
7,0.6880828142166138,1.914466381072998,23.037912368774414,-0.9144663214683533,1e-04,0.5311740040779114,0.9987317323684692,0.9028453230857849,1.5160059928894043,3.187262535095215,-0.5160060524940491,0.5696783661842346,0.985687255859375
8,0.7014613151550293,1.9158987998962402,23.494808197021484,-0.915898859500885,1e-04,0.5368909239768982,0.9989022016525269,0.9503234028816223,1.5817670822143555,3.823741912841797,-0.5817670822143555,0.5804394483566284,0.9881048798561096
9,0.6300467252731323,1.9235398769378662,25.929851531982422,-0.9235395193099976,1e-04,0.5316291451454163,0.9988353252410889,0.9522644877433777,1.6402984857559204,4.780951023101807,-0.6402984261512756,0.5828863382339478,0.9913764595985413
